5.6,5.21
5.4,3.33
5.8,4.96
3.4,0.8
4.6,2.35
2.2,0.23
4.2,1.72
5.3,3.94
5.3,3.3
5.9,4.42
2.4,0.3
4.8,2.92
5.4,3.9
3.8,1.14
5.5,4.04
5.4,3.87
2.8,0.43
5.4,3.51
5.2,3.8
2.3,0.27
2.5,0.4
4.8,2.86
3.2,0.67
4.7,2.42
3.4,0.85
2.1,0.39
2.2,0.27
2.2,0.24
3.2,0.82
2.4,0.29
3,0.6
2.2,0.28
3.6,1.14
2.2,0.3
2.1,0.46
2.5,0.3
2.5,0.34
2.4,0.27
2.5,0.33
3.2,0.63
3.2,0.69
2.2,0.2
2.3,0.3
3.7,1.04
4.2,1.31
4.2,1.72
4,1.12
3.5,1.29
3.4,0.96
3.5,0.97
3.1,0.59
4.9,2.79
4.5,1.94
2.7,0.42
3.2,0.66
4.8,2.695
5.1,3.286
5,2.828
4.2,1.446
5.1,3.369
4.9,3.124
3.7,1.202
5.2,3.316
5.1,3.604
4.6,2.544
4.1,1.876
5.5,3.882
5.4,3.946
4.8,2.967
5,3.795
4.8,2.796
5.2,4.226
5.6,4.779
5,3.046
5.1,3.324
