date,id,days,cl,mass
,261,1,2.56,4.7
,261,353,5.38,32.7
,261,684,6.82,62.4
,261,1032,6.91,64.5
,261,1391,7.86,91.4
,261,1486,7.84,94.3
,261,1743,7.93,95.7
,261,2103,8.45,118.7
,261,2445,8.46,119
,261,2797,9.42,150.7
,261,3113,10.33,195.4
,261,3505,10.46,212.3
,261,3830,10.57,218.5
,261,4471,10.95,229.2
,261,4826,10.98,228.8
,261,5144,11.07,232.1
,261,5830,11.21,247.2
,378,1,2.59,4.3
,378,335,6.53,51.2
,378,663,6.88,62.3
,378,1049,6.91,64.7
,378,1396,7.35,77.5
,378,1745,8.38,98.3
,378,2071,8.88,117.7
,378,2413,10.21,176.7
,378,2780,10.27,185.3
,378,3169,10.27,190.3
,378,3771,10.34,191.7
,378,4130,10.42,196.3
,378,4445,10.69,203.6
,378,5134,11.11,230.9
,501,1,2.81,5.5
,501,337,7.03,67.5
,501,734,7.8,82.7
,501,1065,7.93,92
,501,1408,8.5,105.7
,501,1766,9.77,152.9
,501,2104,10.35,183
,501,2767,10.75,193
,501,3129,10.76,198.8
,501,3439,10.96,203.2
,501,4137,11.16,221.3
,525,1,2.79,5.6
,525,370,6.88,57.8
,525,734,8.04,94.6
,525,1072,8.34,102.7
,525,1441,9.09,128
,525,1772,9.79,155.5
,525,2468,10.62,207.3
,525,2789,10.78,213.6
,525,3111,10.96,215
,635,1,2.58,5.3
,635,376,6.87,60.9
,635,707,7.61,82.1
,635,1077,8.05,98
,635,1775,8.26,112.9
,635,2096,8.67,117.9
,635,2416,9.15,142.1
,635,2751,9.9,176
,635,3091,9.95,197.5
,728,1,2.5,4.8
,728,388,7.18,68.6
,728,1096,8.86,120.9
,728,1417,9.17,128.1
,728,1738,9.35,135.4
,728,2072,9.71,148.7
,728,2412,10.34,182.7
,496,1,2.9,6.4
,496,340,6.8,58.9
,496,736,7.24,67.7
,496,1068,7.34,76.5
,496,1410,7.65,80.4
,496,1766,7.94,93.3
,496,2100,9.56,149
,496,2786,10.51,191.8
,496,3130,10.53,196.6
,496,3443,11.02,204.9
,496,4136,11.61,252.1
,496,4433,11.64,246.8
,496,4758,12.16,276.2
,496,5095,12.3,286.2
,504,1,2.73,5.9
,504,325,6.89,64.2
,504,722,8.08,90.1
,504,1052,8.23,101.6
,504,1396,8.32,104
,504,1754,9.46,144
,504,2092,9.71,157.7
,504,2755,10.85,208.9
,504,3121,10.86,210.9
,504,3428,10.93,212.7
,504,4123,11.08,224.3
,504,4418,11.05,218.7
,504,4742,11.05,218.7
,504,5080,11.6,240.1
,618,1,2.44,4.9
,618,392,6.66,54.8
,618,726,8.02,85.6
,618,1093,8.07,88.4
,618,1792,8.41,105.4
,618,2112,8.93,118.7
,618,2433,9.49,142.1
,618,2768,10.28,180.5
,618,3108,10.31,181.1
,618,3428,10.53,181.6
,618,3754,10.91,200.6
,618,4091,10.96,203.5
,468,1,2.74,5.7
,468,357,6.1,43
,468,708,6.84,59.8
,468,1063,7.25,71
,468,1393,8.21,101.3
,468,1736,8.26,102.5
,468,2094,9.23,137
,468,2426,9.29,142.7
,468,3121,10.25,189.1
,468,3442,10.39,184.3
,468,3765,11.11,215
,468,4445,11.29,237
,468,4756,11.42,245.5
,468,5084,11.49,237.8
,468,5420,11.66,235.3
,490,1,2.69,5.6
,490,347,7.18,65.5
,490,738,7.54,74.6
,490,1070,7.74,85.1
,490,1412,7.86,84.6
,490,1768,8.06,93.4
,490,2102,9.81,160.2
,490,2798,10.38,208
,490,3119,10.4,202.3
,490,3441,10.95,223.6
,490,4121,11.38,242.2
,490,4433,11.48,256.7
,490,4761,11.85,249.1
,490,5097,11.9,260
