"","interval","pond","tc"
"1",1,1,1.89129107616257
"2",1,1,1.89129107616257
"3",301,0,1.67254895318728
"4",301,0,1.67254895318728
"5",366,1,1.59262802048568
"6",366,1,1.59262802048568
"7",578,0,1.70807023221439
"8",578,0,1.70807023221439
"9",731,1,1.59262802048568
"10",731,1,1.59262802048568
"11",943,0,1.70807023221439
"12",943,0,1.70807023221439
"13",1096,1,1.59262802048568
"14",1096,1,1.59262802048568
"15",1308,0,1.70807023221439
"16",1308,0,1.70807023221439
"17",1461,1,1.59262802048568
"18",1461,1,1.59262802048568
"19",1673,0,1.70807023221439
"20",1673,0,1.70807023221439
"21",1826,1,1.59262802048568
"22",1826,1,1.59262802048568
"23",2038,0,1.70807023221439
"24",2038,0,1.70807023221439
"25",2191,1,1.59262802048568
"26",2191,1,1.59262802048568
"27",2403,0,1.70807023221439
"28",2403,0,1.70807023221439
"29",2556,1,1.59262802048568
"30",2556,1,1.59262802048568
"31",2768,0,1.70807023221439
"32",2768,0,1.70807023221439
"33",2921,1,1.59262802048568
"34",2921,1,1.59262802048568
"35",3133,0,1.70807023221439
"36",3133,0,1.70807023221439
"37",3286,1,1.59262802048568
"38",3286,1,1.59262802048568
"39",3498,0,1.70807023221439
"40",3498,0,1.70807023221439
"41",3651,1,1.59262802048568
"42",3651,1,1.59262802048568
"43",3863,0,1.70807023221439
"44",3863,0,1.70807023221439
"45",4016,1,1.59262802048568
"46",4016,1,1.59262802048568
"47",4228,0,1.70807023221439
"48",4228,0,1.70807023221439
"49",4381,1,1.59262802048568
"50",4381,1,1.59262802048568
"51",4593,0,1.70807023221439
"52",4593,0,1.70807023221439
"53",4746,1,1.59262802048568
"54",4746,1,1.59262802048568
"55",4958,0,1.70807023221439
"56",4958,0,1.70807023221439
"57",5111,1,1.59262802048568
"58",5111,1,1.59262802048568
"59",5323,0,1.70807023221439
"60",5323,0,1.70807023221439
"61",5476,1,1.59262802048568
"62",5476,1,1.59262802048568
"63",5688,0,1.70807023221439
"64",5688,0,1.70807023221439
"65",5841,1,1.59262802048568
"66",5841,1,1.59262802048568
"67",6053,0,1.70807023221439
"68",6053,0,1.70807023221439
"69",6206,1,1.59262802048568
"70",6206,1,1.59262802048568
"71",6418,0,1.70807023221439
"72",6418,0,1.70807023221439
